period,Day-ahead demand forecast,Demand,Net generation,Total interchange
2020-01-17T02,42678.0,43760.0,43698.0,-63.0
2020-01-17T03,41940.0,42896.0,42648.0,-248.0
2020-01-17T04,40508.0,41334.0,41292.0,-43.0
2020-01-17T05,38148.0,38864.0,39009.0,145.0
2020-01-17T06,35722.0,36465.0,36594.0,129.0
2020-01-17T07,34428.0,34661.0,34656.0,-5.0
2020-01-17T08,33612.0,33617.0,33616.0,-2.0
2020-01-17T09,32789.0,33053.0,33053.0,0.0
2020-01-17T10,32575.0,32958.0,32958.0,0.0
2020-01-17T11,33343.0,33625.0,33625.0,-1.0
2020-01-17T12,35524.0,35603.0,35594.0,-9.0
2020-01-17T13,39089.0,38963.0,38688.0,-276.0
2020-01-17T14,40685.0,40529.0,40306.0,-224.0
2020-01-17T15,40509.0,40770.0,40553.0,-218.0
2020-01-17T16,40891.0,41306.0,41217.0,-90.0
2020-01-17T17,41130.0,41560.0,41421.0,-140.0
2020-01-17T18,41254.0,41622.0,41385.0,-238.0
2020-01-17T19,40944.0,41409.0,41238.0,-172.0
2020-01-17T20,40478.0,41230.0,41022.0,-208.0
2020-01-17T21,40002.0,40901.0,40690.0,-212.0
2020-01-17T22,39431.0,40576.0,40374.0,-202.0
2020-01-17T23,38863.0,40642.0,40423.0,-219.0
2020-01-18T00,40015.0,41253.0,41035.0,-218.0
2020-01-18T01,40608.0,41697.0,41504.0,-194.0
2020-01-18T02,39801.0,40913.0,40699.0,-214.0
2020-01-18T03,39091.0,40043.0,39856.0,-187.0
2020-01-18T04,38330.0,38818.0,38678.0,-141.0
2020-01-18T05,36512.0,37110.0,36945.0,-166.0
2020-01-18T06,34796.0,35014.0,34801.0,-213.0
2020-01-18T07,33847.0,33227.0,33179.0,-49.0
2020-01-18T08,32884.0,32057.0,31743.0,-315.0
2020-01-18T09,32153.0,31350.0,31048.0,-302.0
2020-01-18T10,31830.0,31046.0,30758.0,-288.0
2020-01-18T11,31987.0,31119.0,30802.0,-318.0
2020-01-18T12,32473.0,31766.0,31449.0,-317.0
2020-01-18T13,33824.0,33198.0,32972.0,-226.0
2020-01-18T14,35791.0,34805.0,34677.0,-129.0
2020-01-18T15,37155.0,36298.0,36179.0,-120.0
2020-01-18T16,38491.0,37478.0,37536.0,58.0
2020-01-18T17,39136.0,38308.0,38336.0,28.0
2020-01-18T18,39380.0,38534.0,38606.0,71.0
